gene,bldg_control,control_lay,control_inc.d3,control_inc.d9,control_inc.d17,control_hatch,control_n5,control_n9
ADRA2A,FP-,NA,NA,NA,NA,NA,NA,NA
AR,FG-  FP-  MG-  MH-  MP-,NA,NA,NA,NA,NA,NA,NA
AVP,FP+  MP+,NA,NA,NA,NA,NA,NA,NA
AVPR1A,NA,NA,NA,NA,NA,NA,NA,NA
AVPR1B,MP-,NA,NA,NA,NA,NA,NA,NA
AVPR2,FP-  MP-,NA,NA,NA,NA,NA,NA,NA
CGA,FH+  FP-  MH+,NA,NA,NA,NA,NA,NA,NA
COMT,FH+  MH+,NA,NA,NA,NA,NA,NA,NA
CRH,MH-,NA,NA,NA,NA,NA,NA,NA
CRHBP,FG+,NA,NA,NA,NA,NA,NA,NA
CRHR1,FG+,NA,NA,NA,NA,NA,NA,NA
CRHR2,FG+,NA,NA,NA,NA,NA,NA,NA
DIO1,FG+,NA,NA,NA,NA,NA,NA,NA
DIO2,FG-,NA,NA,NA,NA,NA,NA,NA
DIO3,FP-  MP+,NA,NA,NA,NA,NA,NA,NA
DRD1,FH-,NA,NA,NA,NA,NA,NA,NA
DRD4,FH+  FP+  MP+,NA,NA,NA,NA,NA,NA,NA
ESR1,FG-  FH-  MH-,NA,NA,NA,NA,NA,NA,NA
ESR2,NA,NA,NA,NA,NA,NA,NA,NA
FOS,NA,NA,NA,NA,NA,NA,NA,NA
FSHB,FG+  FH+,NA,NA,NA,NA,NA,NA,NA
FSHR,FG+,NA,NA,NA,NA,NA,NA,NA
GABRQ,FH-  MH-,NA,NA,NA,NA,NA,NA,NA
GAL,FG+  FH+  MH+,NA,NA,NA,NA,NA,NA,NA
GALR1,MH-,NA,NA,NA,NA,NA,NA,NA
GNRH1,FP+  MH+,NA,NA,NA,NA,NA,NA,NA
GNRHR,MH+,NA,NA,NA,NA,NA,NA,NA
HTR2C,FG+  FH-,NA,NA,NA,NA,NA,NA,NA
JAK2,FG+,NA,NA,NA,NA,NA,NA,NA
LHCGR,NA,NA,NA,NA,NA,NA,NA,NA
MC3R,NA,NA,NA,NA,NA,NA,NA,NA
MC4R,MH+,NA,NA,NA,NA,NA,NA,NA
NPFFR1,FH+  FP+  MP+,NA,NA,NA,NA,NA,NA,NA
NPVF,FP+  MH+,NA,NA,NA,NA,NA,NA,NA
NPY,FP+  MH+  MP+,NA,NA,NA,NA,NA,NA,NA
NR3C1,FG-  FH-  FP-  MH-  MP-,NA,NA,NA,NA,NA,NA,NA
NR3C2,FH-,NA,NA,NA,NA,NA,NA,NA
OPRM1,FG-  FH-  MH-,NA,NA,NA,NA,NA,NA,NA
OXT,FP+  MP+,NA,NA,NA,NA,NA,NA,NA
PGR,FG-,NA,NA,NA,NA,NA,NA,NA
POMC,MH+  MP+,NA,NA,NA,NA,NA,NA,NA
PRL,FH+  FP+  MG+  MH+  MP+,NA,NA,NA,NA,NA,NA,NA
PRLH,FH+  FP+,NA,NA,NA,NA,NA,NA,NA
PRLHR,FG+  FP+  MH+,NA,NA,NA,NA,NA,NA,NA
PRLR,FP+  MP+,NA,NA,NA,NA,NA,NA,NA
SERPINA4,MH+  MP+,NA,NA,NA,NA,NA,NA,NA
SLC6A4,MH-,NA,NA,NA,NA,NA,NA,NA
STAT5B,FP-  MG-  MH-  MP-,NA,NA,NA,NA,NA,NA,NA
VIP,MH+,NA,NA,NA,NA,NA,NA,NA
VIPR1,FP+  MP+,NA,NA,NA,NA,NA,NA,NA
